"","word","freq"
"can"",","can"",",1
"canadian","canadian",1
"cancel","cancel",1
"cand"",","cand"",",1
"candi"",","candi"",",1
"candid","candid",83
"candid"",","candid"",",4
"candidat"",","candidat"",",2
"candidatur","candidatur",8
"canno"",","canno"",",1
"cant","cant",10
"cap"",","cap"",",1
"capit","capit",1
"capt","capt",1
"captain","captain",1
"car","car",1
"card","card",3
"care"",","care"",",2
"carefullyif","carefullyif",1
"carfew","carfew",1
"carrier","carrier",1
"cas"",","cas"",",1
"case","case",10
"case"",","case"",",1
"cast","cast",5
"cast"",","cast"",",1
"caught","caught",1
"caus","caus",37
"ccs","ccs",1
"celebr","celebr",1
"celebratingjai","celebratingjai",1
"cell","cell",2
"cell"",","cell"",",1
"censor","censor",1
"centr","centr",1
"central","central",5
"certain","certain",2
"certif","certif",1
"certifi","certifi",1
"ch"",","ch"",",2
"chaiwala","chaiwala",1
"chakra","chakra",1
"chali","chali",1
"challeng","challeng",1
"chalu","chalu",1
"chamber"",","chamber"",",1
