"","word","freq"
"burn","burn",18
"burn"",","burn"",",1
"burnol","burnol",1
"burst","burst",1
"bus","bus",2
"busi","busi",4
"busi"",","busi"",",1
"bussinesswhi","bussinesswhi",1
"butcher","butcher",17
"buy","buy",3
"buyer"",","buyer"",",1
"c"",","c"",",10
"c(""stop","c(""stop",1
"ca"",","ca"",",2
"cabinet","cabinet",1
"cabinetn","cabinetn",1
"calcul","calcul",1
"call","call",19
"cam"",","cam"",",1
"cambridg","cambridg",28
"came","came",4
"camp","camp",2
"campaign","campaign",10
"can","can",30
"can"",","can"",",3
"canadian","canadian",1
"cancer","cancer",1
"cand"",","cand"",",1
"candid","candid",19
"cannon","cannon",2
"cant","cant",7
"cant"",","cant"",",1
"capabl","capabl",1
"capf","capf",2
"capit","capit",1
"capt","capt",2
"capta"",","capta"",",1
"captain","captain",29
"captain"",","captain"",",1
"card","card",2
"care","care",5
"care"",","care"",",1
"career"",","career"",",1
"carnag","carnag",3
"carri","carri",29
"cartoon","cartoon",2
"cartoon"",","cartoon"",",4
"cartoonistwhen","cartoonistwhen",2
"case","case",6
"case"",","case"",",2
"cash","cash",1
"cast","cast",2
"casteist"",","casteist"",",2
"castig","castig",1
"caught","caught",1
"caus","caus",1
"celebr","celebr",3
"cement","cement",1
"censor","censor",4
"central","central",3
"certain","certain",1
"cgpic","cgpic",1
"ch"",","ch"",",1
"chaatua","chaatua",1
"chachajaan","chachajaan",1
"chaiwala","chaiwala",3
"chal","chal",1
"chali","chali",1
"challeng","challeng",5
"chalo","chalo",1
"chambu","chambu",2
"chambu"",","chambu"",",1
"chamc"",","chamc"",",1
"chamcha","chamcha",2
"chamchaa","chamchaa",1
"chamchag"",","chamchag"",",1
"chamchagirise"",","chamchagirise"",",1
"champak","champak",1
"chanc","chanc",2
"chandigarh"",","chandigarh"",",1
"chandnichowk","chandnichowk",1
"chandra","chandra",1
"chandrasekar","chandrasekar",1
"chang","chang",6
"chang"",","chang"",",1
